"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Mar 2016","1.280,90","1.304,00","1.304,00","1.269,70","0,01K","0,60%"
"Feb 2016","1.273,30","1.220,40","1.269,00","1.220,40","0,01K","9,59%"
"Ene 2016","1.161,90","1.161,90","1.161,90","1.161,90","0,00K","3,65%"
"Dic 2015","1.121,00","1.121,00","1.121,00","1.121,00","9,97K","-0,26%"
"Nov 2015","1.123,90","1.131,00","1.138,40","1.131,00","0,02K","-5,97%"
"Oct 2015","1.195,20","1.195,20","1.195,20","1.195,20","0,15K","0,98%"
"Sep 2015","1.183,60","1.188,40","1.188,40","1.188,40","0,00K","-2,74%"
"Ago 2015","1.216,90","1.216,90","1.216,90","1.216,90","12,82K","2,86%"
"Jul 2015","1.183,10","1.268,50","1.268,50","1.268,00","0,00K","-6,90%"
"Jun 2015","1.270,80","1.264,00","1.266,80","1.263,00","0,01K","-0,77%"
"May 2015","1.280,70","1.317,50","1.318,20","1.276,50","0,00K","0,60%"
"Abr 2015","1.273,00","1.273,00","1.273,00","1.273,00","7,45K","0,06%"
"Mar 2015","1.272,20","1.272,20","1.272,20","1.272,20","42,95K","-2,84%"
"Feb 2015","1.309,40","1.367,00","1.367,00","1.323,30","0,00K","-5,43%"
"Ene 2015","1.384,60","1.340,00","1.391,10","1.340,00","0,01K","3,68%"
"Dic 2014","1.335,40","1.335,40","1.335,40","1.346,70","11,02K","13,63%"
"Nov 2014","1.175,20","1.166,40","1.202,40","1.132,90","88,66K","0,35%"
"Oct 2014","1.171,10","1.207,70","1.247,00","1.161,40","3,88K","-3,25%"
"Sep 2014","1.210,50","1.284,50","1.286,40","1.204,00","8,21K","-5,86%"
"Ago 2014","1.285,80","1.284,10","1.322,10","1.272,00","8,89K","0,35%"
"Jul 2014","1.281,30","1.326,70","1.343,70","1.280,60","43,10K","-3,06%"
"Jun 2014","1.321,80","1.250,00","1.328,70","1.240,50","10,00K","6,12%"
